Project Name,Renewable Technology,Energy Storage Power Capacity  (MWac),Energy Storage Energy Capacity (MWh),New Renewable Capacity (MW),ZIP Code,County/Province,State/Province,Georeference,Household_Income,Normalized Capacity,Environmental Score,Social Score
Heritage Wind,Land Based Wind,96.13333333333334,75.42857142857143,147.0,14411,Orleans,NY,POINT (-78.19375 43.24613),94098.0,0.1047008547008547,10.47008547008547,10
Stonewall Solar,Solar,20.0,80.0,145.0,13757,Delaware,NY,POINT (-74.88682 42.42192),188579.0,0.10327635327635327,10.327635327635328,5
Prattsburgh Wind Farm,Land Based Wind,96.13333333333334,75.42857142857143,145.0,14873,Steuben,NY,POINT (-77.28905 42.52343),87207.0,0.10327635327635327,10.327635327635328,10
Oxbow Hill Solar,Solar,96.13333333333334,75.42857142857143,140.0,13035,Madison,NY,POINT (-75.84845 42.9296),87684.0,0.09971509971509972,9.971509971509972,10
"White Creek Solar, LLC",Solar,96.13333333333334,75.42857142857143,135.0,14533,Livingston,NY,POINT (-77.85233 42.8284),90497.0,0.09615384615384616,9.615384615384617,10
Newport Solar Farm,Solar,96.13333333333334,75.42857142857143,130.0,13502,Oneida,NY,POINT (-75.24727 43.10108),114974.0,0.0925925925925926,9.25925925925926,5
Alabama Solar Park,Solar,20.0,80.0,130.0,14125,Genesee,NY,POINT (-78.27071 43.06599),77343.0,0.0925925925925926,9.25925925925926,20
"Heritage Wind, LLC",Land Based Wind,96.13333333333334,75.42857142857143,126.0,14411,Orleans,NY,POINT (-78.19375 43.24613),21105.0,0.08974358974358974,8.974358974358974,90
Wethersfield,Land Based Wind,96.13333333333334,75.42857142857143,126.0,14066,Wyoming,NY,POINT (-78.13413 42.64198),29022.0,0.08974358974358974,8.974358974358974,90
Somerset Solar,Solar,96.13333333333334,75.42857142857143,125.0,14012,Niagara,NY,POINT (-78.55259 43.33009),93195.0,0.08903133903133903,8.903133903133902,10
Baron Winds I,Land-based Wind,96.13333333333334,75.42857142857143,121.8,14826,Steuben,NY,POINT (-77.51062 42.50697),198493.0,0.08675213675213675,8.675213675213675,5
Greens Corners Solar,Solar,96.13333333333334,75.42857142857143,120.0,13601,Jefferson,NY,POINT (-75.91428 43.97586),111722.0,0.08547008547008547,8.547008547008547,5
Tracy Solar Energy Center,Solar,5.0,20.0,119.0,13656,Jefferson,NY,POINT (-75.96182 44.19682),75994.0,0.08475783475783476,8.475783475783476,20
Baron Winds II,Land Based Wind,96.13333333333334,75.42857142857143,117.0,14572,Steuben,NY,POINT (-77.58991 42.56779),133049.0,0.08333333333333334,8.333333333333334,5
Baron Winds II,Land Based Wind,96.13333333333334,75.42857142857143,112.5,14826,Steuben,NY,POINT (-77.51062 42.50697),21605.0,0.08012820512820513,8.012820512820513,90
High Sheldon,Land Based Wind,96.13333333333334,75.42857142857143,112.5,14145,Wyoming,NY,POINT (-78.44801 42.70145),171548.0,0.08012820512820513,8.012820512820513,5
Gravel Road Solar,Solar,96.13333333333334,75.42857142857143,112.0,13148,Seneca,NY,POINT (-76.80882 42.91054),51419.0,0.07977207977207977,7.977207977207977,45
Bluestone Wind,Land-based Wind,96.13333333333334,75.42857142857143,111.8,13865,Broome,NY,POINT (-75.64093 42.07398),26977.0,0.07962962962962963,7.962962962962964,90
Eight Point Wind,Land-based Wind,96.13333333333334,75.42857142857143,111.2,14877,Steuben,NY,POINT (-77.66125 42.08494),111674.0,0.07920227920227921,7.920227920227921,5
Rutland Center Solar 1,Solar,96.13333333333334,75.42857142857143,110.2,13601,Jefferson,NY,POINT (-75.91428 43.97586),60299.0,0.0784900284900285,7.849002849002849,30
Valcour Bliss Windpark,Land Based Wind,96.13333333333334,75.42857142857143,108.0,14024,Wyoming,NY,POINT (-78.2584 42.59483),137506.0,0.07692307692307693,7.6923076923076925,5
Ball Hill,Land-based Wind,96.13333333333334,75.42857142857143,107.5,14062,Chautauqua,NY,POINT (-79.17639 42.46807),104035.0,0.07656695156695158,7.656695156695157,5
Chateaugay Wind Farm,Land Based Wind,96.13333333333334,75.42857142857143,106.5,12920,Clinton,NY,POINT (-74.08016 44.92649),71968.0,0.07585470085470086,7.585470085470086,20
Number Three Wind Farm,Land-based Wind,96.13333333333334,75.42857142857143,103.9,13367,Lewis,NY,POINT (-75.4895 43.7871),43619.0,0.07400284900284901,7.400284900284901,60
Valcour Altona Windpark,Land Based Wind,96.13333333333334,75.42857142857143,103.5,12910,Clinton,NY,POINT (-73.65582 44.88942),74910.0,0.07371794871794872,7.371794871794872,20
Altona,Land Based Wind,96.13333333333334,75.42857142857143,102.0,12910,Clinton,NY,POINT (-73.65582 44.88942),189350.0,0.07264957264957266,7.264957264957266,5
Moose River Hydro,Hydroelectric,96.13333333333334,75.42857142857143,101.46530769230769,13368,Lewis,NY,POINT (-75.36537 43.61971),175800.0,0.07226873767258382,7.2268737672583825,5
Lyons Falls Hydro,Maintenance Hydroelectric,96.13333333333334,75.42857142857143,101.46530769230769,13368,Lewis,NY,POINT (-75.36537 43.61971),128462.0,0.07226873767258382,7.2268737672583825,5
Lyonsdale Biomass,Maintenance Biomass,96.13333333333334,75.42857142857143,101.46530769230769,13368,Lewis,NY,POINT (-75.36537 43.61971),92612.0,0.07226873767258382,7.2268737672583825,10
New York Blade Facility,,96.13333333333334,75.42857142857143,101.46530769230769,,,,,67891.0,0.07226873767258382,7.2268737672583825,30
Dutch Hill*,Land Based Wind,96.13333333333334,75.42857142857143,101.46530769230769,14826,Steuben,NY,POINT (-77.51062 42.50697),155452.0,0.07226873767258382,7.2268737672583825,5
New York Nacelle Facility,,96.13333333333334,75.42857142857143,101.46530769230769,,,,,100866.0,0.07226873767258382,7.2268737672583825,5
Lyonsdale,Maintenance Biomass,96.13333333333334,75.42857142857143,101.46530769230769,13368,Lewis,NY,POINT (-75.36537 43.61971),53627.0,0.07226873767258382,7.2268737672583825,45
Champlain Hudson Power Express (CHPE),Hydroelectric,96.13333333333334,75.42857142857143,101.46530769230769,,,,,65309.0,0.07226873767258382,7.2268737672583825,30
Azure Mountain,Maintenance Hydroelectric,96.13333333333334,75.42857142857143,101.46530769230769,12980,Franklin,NY,POINT (-74.54633 44.67299),99346.0,0.07226873767258382,7.2268737672583825,10
Port of Albany Port Infrastructure Investment Plan,,96.13333333333334,75.42857142857143,101.46530769230769,,,,,97944.0,0.07226873767258382,7.2268737672583825,10
