Project Name,Renewable Technology,Energy Storage Power Capacity  (MWac),Energy Storage Energy Capacity (MWh),New Renewable Capacity (MW),ZIP Code,County/Province,State/Province,Georeference,Household_Income,Normalized Capacity,Environmental Score,Social Score
Dolan Solar,Solar,96.13333333333334,75.42857142857143,19.99,12828,Washington,NY,POINT (-73.58658 43.26888),35330.0,0.014237891737891738,1.423789173789174,75
SunEast Grassy Knoll Solar,Solar,96.13333333333334,75.42857142857143,19.99,13365,Herkimer,NY,POINT (-74.85884 43.04079),98494.0,0.014237891737891738,1.423789173789174,10
Dog Corners Solar,Solar,96.13333333333334,75.42857142857143,19.99,13026,Cayuga,NY,POINT (-76.70294 42.75771),165746.0,0.014237891737891738,1.423789173789174,5
Sky High Solar,Solar,96.13333333333334,75.42857142857143,19.99,13159,Onondaga,NY,POINT (-76.10971 42.79814),70780.0,0.014237891737891738,1.423789173789174,20
SunEast Flat Hill Solar,Solar,96.13333333333334,75.42857142857143,19.99,13365,Herkimer,NY,POINT (-74.85884 43.04079),72601.0,0.014237891737891738,1.423789173789174,20
Clear View Solar,Solar,96.13333333333334,75.42857142857143,19.99,14808,Steuben,NY,POINT (-77.47228 42.55434),154625.0,0.014237891737891738,1.423789173789174,5
Hawthorn Solar,Solar,96.13333333333334,75.42857142857143,19.99,12090,Rensselaer,NY,POINT (-73.34957 42.90196),27131.0,0.014237891737891738,1.423789173789174,90
SunEast Fairway Solar,Solar,96.13333333333334,75.42857142857143,19.99,13669,St Lawrence,NY,POINT (-75.48994 44.69424),183952.0,0.014237891737891738,1.423789173789174,5
SunEast Clay Solar,Solar,96.13333333333334,75.42857142857143,19.99,13041,Onondaga,NY,POINT (-76.18673 43.18642),102925.0,0.014237891737891738,1.423789173789174,5
Pattersonville,Solar,96.13333333333334,75.42857142857143,19.99,12137,Schenectady,NY,POINT (-74.07789 42.88897),186066.0,0.014237891737891738,1.423789173789174,5
SunEast Augustus Solar,Solar,96.13333333333334,75.42857142857143,19.99,13425,Oneida,NY,POINT (-75.46093 42.9391),178402.0,0.014237891737891738,1.423789173789174,5
SED Dog Corners Solar,Solar,96.13333333333334,75.42857142857143,19.99,13026,Cayuga,NY,POINT (-76.70294 42.75771),184914.0,0.014237891737891738,1.423789173789174,5
Somers Solar,Solar,96.13333333333334,75.42857142857143,19.99,12828,Washington,NY,POINT (-73.58658 43.26888),177342.0,0.014237891737891738,1.423789173789174,5
SunEast Kingbird Solar,Solar,96.13333333333334,75.42857142857143,19.99,14048,Chautauqua,NY,POINT (-79.33578 42.48724),60396.0,0.014237891737891738,1.423789173789174,30
Sandy Creek Solar,Solar,96.13333333333334,75.42857142857143,19.99,13605,Jefferson,NY,POINT (-76.02364 43.81029),36210.0,0.014237891737891738,1.423789173789174,75
Stern Solar,Solar,96.13333333333334,75.42857142857143,19.99,12154,Rensselaer,NY,POINT (-73.58644 42.89705),162896.0,0.014237891737891738,1.423789173789174,5
Hatchery Solar,Solar,96.13333333333334,75.42857142857143,19.99,14423,Livingston,NY,POINT (-77.8533 42.97389),52988.0,0.014237891737891738,1.423789173789174,45
Double Lock Solar,Solar,96.13333333333334,75.42857142857143,19.99,13339,Montgomery,NY,POINT (-74.62332 42.93068),87062.0,0.014237891737891738,1.423789173789174,10
Bakerstand Solar 1,Solar,96.13333333333334,75.42857142857143,19.99,14737,Cattaraugus,NY,POINT (-78.4578 42.33745),143067.0,0.014237891737891738,1.423789173789174,5
SunEast Limestone Solar,Solar,96.13333333333334,75.42857142857143,19.99,12070,Fulton,NY,POINT (-74.23969 42.95709),152225.0,0.014237891737891738,1.423789173789174,5
Little Pond Solar,Solar,96.13333333333334,75.42857142857143,19.99,12780,Orange,NY,POINT (-74.72882 41.40325),39291.0,0.014237891737891738,1.423789173789174,75
Little Pond Solar,Solar,96.13333333333334,75.42857142857143,19.99,12780,Orange,NY,POINT (-74.72882 41.40325),88405.0,0.014237891737891738,1.423789173789174,10
Tayandenega Solar,Solar,96.13333333333334,75.42857142857143,19.99,13452,Montgomery,NY,POINT (-74.67843 42.99876),27799.0,0.014237891737891738,1.423789173789174,90
Bald Mountain Solar,Solar,96.13333333333334,75.42857142857143,19.99,12834,Washington,NY,POINT (-73.49696 43.08752),76346.0,0.014237891737891738,1.423789173789174,20
Grassy Knoll Solar,Solar,96.13333333333334,75.42857142857143,19.99,13329,Herkimer,NY,POINT (-74.77379 43.09996),118569.0,0.014237891737891738,1.423789173789174,5
Hills Solar,Solar,96.13333333333334,75.42857142857143,19.99,13365,Herkimer,NY,POINT (-74.85884 43.04079),34062.0,0.014237891737891738,1.423789173789174,75
Flat Stone Solar,Solar,96.13333333333334,75.42857142857143,19.99,13478,Oneida,NY,POINT (-75.57247 43.14021),133552.0,0.014237891737891738,1.423789173789174,5
Valley Solar,Solar,96.13333333333334,75.42857142857143,19.99,13827,Tioga,NY,POINT (-76.26213 42.10271),37701.0,0.014237891737891738,1.423789173789174,75
Highview Solar,Solar,96.13333333333334,75.42857142857143,19.99,14530,Wyoming,NY,POINT (-78.0055 42.71961),73629.0,0.014237891737891738,1.423789173789174,20
Highbanks Solar,Solar,96.13333333333334,75.42857142857143,19.99,14510,Livingston,NY,POINT (-77.8741 42.72573),133073.0,0.014237891737891738,1.423789173789174,5
Watkins Road Solar,Solar,96.13333333333334,75.42857142857143,19.99,13340,Herkimer,NY,POINT (-75.07407 43.03638),115309.0,0.014237891737891738,1.423789173789174,5
West River Solar,Solar,96.13333333333334,75.42857142857143,19.99,12831,Saratoga,NY,POINT (-73.65232 43.19646),174814.0,0.014237891737891738,1.423789173789174,5
Hatchery Solar,Solar,96.13333333333334,75.42857142857143,19.99,14423,Livingston,NY,POINT (-77.8533 42.97389),197560.0,0.014237891737891738,1.423789173789174,5
Sunny Knoll Solar,Solar,96.13333333333334,75.42857142857143,19.99,12157,Schoharie,NY,POINT (-74.31147 42.6644),57958.0,0.014237891737891738,1.423789173789174,45
SED Watkins Road Solar 1,Solar,96.13333333333334,75.42857142857143,19.99,13340,Herkimer,NY,POINT (-75.07407 43.03638),108161.0,0.014237891737891738,1.423789173789174,5
Flat Hill Solar,Solar,96.13333333333334,75.42857142857143,19.99,13329,Herkimer,NY,POINT (-74.77379 43.09996),166652.0,0.014237891737891738,1.423789173789174,5
SunEast Valley Solar,Solar,96.13333333333334,75.42857142857143,19.99,13827,Tioga,NY,POINT (-76.26213 42.10271),148245.0,0.014237891737891738,1.423789173789174,5
SunEast Millers Grove Solar,Solar,96.13333333333334,75.42857142857143,19.99,13340,Herkimer,NY,POINT (-75.07407 43.03638),75820.0,0.014237891737891738,1.423789173789174,20
SunEast Morris Solar,Solar,96.13333333333334,75.42857142857143,19.99,13642,St Lawrence,NY,POINT (-75.46717 44.33572),29823.0,0.014237891737891738,1.423789173789174,90
Blue Stone Solar,Solar,96.13333333333334,75.42857142857143,19.99,12477,Ulster,NY,POINT (-73.95246 42.07778),131517.0,0.014237891737891738,1.423789173789174,5
ELP Granby Solar II,Solar,96.13333333333334,75.42857142857143,19.99,13069,Oswego,NY,POINT (-76.41527 43.32201),83581.0,0.014237891737891738,1.423789173789174,10
Magruder Solar,Solar,96.13333333333334,75.42857142857143,19.99,12525,Ulster,NY,POINT (-74.1512 41.67999),46233.0,0.014237891737891738,1.423789173789174,60
ELP Rotterdam Solar,Solar,96.13333333333334,75.42857142857143,19.99,12137,Schenectady,NY,POINT (-74.07789 42.88897),129999.0,0.014237891737891738,1.423789173789174,5
SunEast Transit Solar,Solar,96.13333333333334,75.42857142857143,19.99,14143,Genesee,NY,POINT (-78.07349 42.98365),191060.0,0.014237891737891738,1.423789173789174,5
Martin Rd Solar,Solar,96.13333333333334,75.42857142857143,19.99,14101,Cattaraugus,NY,POINT (-78.49038 42.4241),85828.0,0.014237891737891738,1.423789173789174,10
ELP Stuyvesant Solar,Solar,96.13333333333334,75.42857142857143,19.99,12173,Columbia,NY,POINT (-73.78433 42.3879),186040.0,0.014237891737891738,1.423789173789174,5
ELP Ticonderoga Solar,Solar,96.13333333333334,75.42857142857143,19.99,12883,Essex,NY,POINT (-73.42423 43.84879),118644.0,0.014237891737891738,1.423789173789174,5
Manchester Solar,Solar,96.13333333333334,75.42857142857143,19.99,14432,Ontario,NY,POINT (-77.13883 42.9615),171887.0,0.014237891737891738,1.423789173789174,5
Roosevelt Solar,Solar,2.0,8.0,19.9,13662,St Lawrence,NY,POINT (-74.89298 44.93182),50963.0,0.014173789173789173,1.4173789173789173,45
Greene County Energy Properties,Solar,96.13333333333334,75.42857142857143,19.9,12042,Greene,NY,POINT (-73.8587 42.37065),194929.0,0.014173789173789173,1.4173789173789173,5
SunEast Scipio Solar,Solar,96.13333333333334,75.42857142857143,18.0,13147,Cayuga,NY,POINT (-76.55886 42.78334),179335.0,0.012820512820512822,1.2820512820512822,5
Scipio Solar,Solar,96.13333333333334,75.42857142857143,18.0,13147,Cayuga,NY,POINT (-76.55886 42.78334),81384.0,0.012820512820512822,1.2820512820512822,10
Great Gully Solar Farm (formerly Delight Farm),Solar,96.13333333333334,75.42857142857143,16.8,13160,Cayuga,NY,POINT (-76.69542 42.83245),58257.0,0.011965811965811967,1.1965811965811968,45
Marsh Hill,Land Based Wind,96.13333333333334,75.42857142857143,16.2,14855,Steuben,NY,POINT (-77.50328 42.12147),61962.0,0.011538461538461539,1.153846153846154,30
Tayandenega Solar,Solar,96.13333333333334,75.42857142857143,15.0,13452,Montgomery,NY,POINT (-74.67843 42.99876),60835.0,0.010683760683760684,1.0683760683760684,30
Steel Winds II,Land Based Wind,96.13333333333334,75.42857142857143,15.0,14218,Erie,NY,POINT (-78.82654 42.82014),130808.0,0.010683760683760684,1.0683760683760684,5
High Falls,Hydroelectric,96.13333333333334,75.42857142857143,14.7,J0X2L,,QC,,73154.0,0.01047008547008547,1.0470085470085468,20
Seneca,Biogas - LFG,96.13333333333334,75.42857142857143,12.8,13165,Seneca,NY,POINT (-76.8627 42.89895),112443.0,0.009116809116809118,0.9116809116809118,5
Black Oak,Land Based Wind,96.13333333333334,75.42857142857143,12.6,14867,Tompkins,NY,POINT (-76.59918 42.35949),65931.0,0.008974358974358974,0.8974358974358974,30
Cody Road,Land Based Wind,96.13333333333334,75.42857142857143,10.0,13035,Madison,NY,POINT (-75.84845 42.9296),168843.0,0.007122507122507123,0.7122507122507122,5
Greene County 2,Solar,96.13333333333334,75.42857142857143,10.0,12051,Greene,NY,POINT (-73.80015 42.34806),105058.0,0.007122507122507123,0.7122507122507122,5
NYC Biogas,Biogas - ADG,96.13333333333334,75.42857142857143,9.6,10307,Richmond,NY,POINT (-74.24093 40.51133),77420.0,0.006837606837606838,0.6837606837606838,20
Chautauqua LFGE,Biogas - LFG,96.13333333333334,75.42857142857143,8.0,14701,Chautauqua,NY,POINT (-79.2378 42.09605),198976.0,0.005698005698005698,0.5698005698005698,5
Glen Park,Hydroelectric,96.13333333333334,75.42857142857143,7.18,13601,Jefferson,NY,POINT (-75.91428 43.97586),56347.0,0.005113960113960114,0.5113960113960114,45
Community Refuse LFG,Biogas - LFG,96.13333333333334,75.42857142857143,6.4,17257,,PA,POINT (-77.51692 40.05194),39448.0,0.004558404558404559,0.4558404558404559,75
Clinton Co.,Biogas - LFG,96.13333333333334,75.42857142857143,6.4,12962,Clinton,NY,POINT (-73.56636 44.69294),55910.0,0.004558404558404559,0.4558404558404559,45
Modern,Biogas - LFG,96.13333333333334,75.42857142857143,6.4,14174,Niagara,NY,POINT (-79.04796 43.2504),29804.0,0.004558404558404559,0.4558404558404559,90
Ontario,Biogas - LFG,96.13333333333334,75.42857142857143,6.4,14561,Ontario,NY,POINT (-77.09743 42.82485),198031.0,0.004558404558404559,0.4558404558404559,5
Stuyvesant Falls,Hydroelectric,96.13333333333334,75.42857142857143,6.0,12173,Columbia,NY,POINT (-73.78433 42.3879),95884.0,0.004273504273504274,0.4273504273504274,10
Steel Winds Wind Farm,Land Based Wind,96.13333333333334,75.42857142857143,5.84,14218,Erie,NY,POINT (-78.82654 42.82014),157914.0,0.004159544159544159,0.41595441595441596,5
Lyons Falls Mill Hydro,Hydroelectric,96.13333333333334,75.42857142857143,5.51,13368,Lewis,NY,POINT (-75.36537 43.61971),63275.0,0.003924501424501425,0.3924501424501425,30
School Street,Hydroelectric,96.13333333333334,75.42857142857143,5.2,12047,Albany,NY,POINT (-73.70009 42.77465),70989.0,0.003703703703703704,0.3703703703703704,20
Dolgeville Hydro,Hydroelectric,96.13333333333334,75.42857142857143,5.0,13329,Herkimer,NY,POINT (-74.77379 43.09996),42367.0,0.0035612535612535613,0.3561253561253561,60
Hannacroix Solar Facility,Solar,96.13333333333334,75.42857142857143,4.99,12087,Greene,NY,POINT (-73.8846 42.4361),116247.0,0.0035541310541310545,0.35541310541310545,5
DANC,Biogas - LFG,96.13333333333334,75.42857142857143,4.8,13682,Jefferson,NY,POINT (-75.94078 43.85022),159071.0,0.003418803418803419,0.3418803418803419,5
Hyland LFGE,Biogas - LFG,96.13333333333334,75.42857142857143,4.8,14709,Allegany,NY,POINT (-78.02061 42.30738),146629.0,0.003418803418803419,0.3418803418803419,5
Sherman Island,Hydroelectric,96.13333333333334,75.42857142857143,4.7,12804,Warren,NY,POINT (-73.67843 43.33318),127341.0,0.003347578347578348,0.33475783475783477,5
Mechanicville,Hydroelectric,96.13333333333334,75.42857142857143,4.5,12118,Saratoga,NY,POINT (-73.68503 42.90454),166371.0,0.0032051282051282055,0.32051282051282054,5
Steel Winds Wind Farm 2,Land Based Wind,96.13333333333334,75.42857142857143,4.4,14218,Erie,NY,POINT (-78.82654 42.82014),71037.0,0.003133903133903134,0.3133903133903134,20
Howard (Expansion),Land Based Wind,96.13333333333334,75.42857142857143,4.1,14823,Steuben,NY,POINT (-77.60504 42.27),48603.0,0.00292022792022792,0.292022792022792,60
AES Greenidge,Biomass,96.13333333333334,75.42857142857143,4.0,14527,Yates,NY,POINT (-77.0553 42.66363),30221.0,0.002849002849002849,0.2849002849002849,75
Henkel US Operations Corp - Geneva Facility,Land Based Wind,96.13333333333334,75.42857142857143,3.3,14456,Ontario,NY,POINT (-76.98218 42.86642),41523.0,0.0023504273504273503,0.23504273504273504,60
Lyons Falls Mill Redevelopment,Hydroelectric,96.13333333333334,75.42857142857143,3.28,13368,Lewis,NY,POINT (-75.36537 43.61971),70466.0,0.0023361823361823363,0.23361823361823364,20
Albany 2,Biogas - LFG,96.13333333333334,75.42857142857143,3.2,12205,Albany,NY,POINT (-73.79864 42.69493),32542.0,0.0022792022792022795,0.22792022792022795,75
Stewarts Bridge Hydro (Upgrade),Hydroelectric,96.13333333333334,75.42857142857143,2.9,12822,Saratoga,NY,POINT (-73.83128 43.24434),180457.0,0.0020655270655270657,0.20655270655270658,5
Stewarts Bridge,Hydroelectric,96.13333333333334,75.42857142857143,2.6,12822,Saratoga,NY,POINT (-73.83128 43.24434),117461.0,0.001851851851851852,0.1851851851851852,5
Swinging Bridge,Hydroelectric,96.13333333333334,75.42857142857143,2.18,12737,Sullivan,NY,POINT (-74.80665 41.49108),177265.0,0.0015527065527065529,0.15527065527065528,5
Higley Falls,Hydroelectric,96.13333333333334,75.42857142857143,1.9,13625,St Lawrence,NY,POINT (-74.94156 44.55449),106883.0,0.0013532763532763533,0.13532763532763534,5
Chasm Falls,Hydroelectric,96.13333333333334,75.42857142857143,1.6,12920,Franklin,NY,POINT (-74.08016 44.92649),190054.0,0.0011396011396011397,0.11396011396011398,5
Regen DG Project,Fuel Cell,96.13333333333334,75.42857142857143,1.58,10591,Westchester,NY,POINT (-73.85865 41.08007),99337.0,0.0011253561253561255,0.11253561253561255,10
Java Solar Energy Center,Solar,96.13333333333334,75.42857142857143,1.53,14009,Wyoming,NY,POINT (-78.42825 42.53383),123715.0,0.00108974358974359,0.10897435897435899,5
Norfolk,Hydroelectric,96.13333333333334,75.42857142857143,1.5,13667,St Lawrence,NY,POINT (-74.98356 44.80086),24314.0,0.0010683760683760685,0.10683760683760685,90
Buffalo BioEnergy,Biogas - ADG,96.13333333333334,75.42857142857143,1.24,14224,Erie,NY,POINT (-78.75383 42.83505),114410.0,0.0008831908831908832,0.08831908831908833,5
ATT Clean Energy Project - 400 Hamilton B,Fuel Cell,96.13333333333334,75.42857142857143,1.0,10601,Westchester,NY,POINT (-73.76344 41.03379),89334.0,0.0007122507122507123,0.07122507122507123,10
Wave Hydro,Hydroelectric,96.13333333333334,75.42857142857143,0.95,13027,Onondaga,NY,POINT (-76.33276 43.15867),134870.0,0.0006766381766381767,0.06766381766381767,5
East Norfolk,Hydroelectric,96.13333333333334,75.42857142857143,0.9,13667,St Lawrence,NY,POINT (-74.98356 44.80086),148584.0,0.000641025641025641,0.0641025641025641,5
Albany 1,Biogas - LFG,96.13333333333334,75.42857142857143,0.9,12205,Albany,NY,POINT (-73.79864 42.69493),28548.0,0.000641025641025641,0.0641025641025641,90
Fulton Unit 1,Hydroelectric,96.13333333333334,75.42857142857143,0.87,13069,Oswego,NY,POINT (-76.41527 43.32201),97389.0,0.0006196581196581197,0.06196581196581197,10
Niagara BioEnergy,Biogas - ADG,96.13333333333334,75.42857142857143,0.85,14304,Niagara,NY,POINT (-78.96109 43.09076),153187.0,0.0006054131054131054,0.06054131054131054,5
"401 Fieldcrest Dr. Elmsford, NY 10523",Fuel Cell,96.13333333333334,75.42857142857143,0.8,10523,Westchester,NY,POINT (-73.81937 41.05419),91737.0,0.0005698005698005699,0.05698005698005699,10
Rio,Hydroelectric,96.13333333333334,75.42857142857143,0.8,12737,Sullivan,NY,POINT (-74.80665 41.49108),181654.0,0.0005698005698005699,0.05698005698005699,5
Spier Falls,Hydroelectric,96.13333333333334,75.42857142857143,0.8,12822,Saratoga,NY,POINT (-73.83128 43.24434),131205.0,0.0005698005698005699,0.05698005698005699,5
Morgan Stanley Headquarters,Fuel Cell,96.13333333333334,75.42857142857143,0.79,10036,New York,NY,POINT (-73.98464 40.7591),48706.0,0.0005626780626780628,0.056267806267806274,60
Raymondville,Hydroelectric,96.13333333333334,75.42857142857143,0.7,13667,St Lawrence,NY,POINT (-74.98356 44.80086),152772.0,0.0004985754985754986,0.04985754985754986,5
Colton,Hydroelectric,96.13333333333334,75.42857142857143,0.7,13625,St Lawrence,NY,POINT (-74.94156 44.55449),157905.0,0.0004985754985754986,0.04985754985754986,5
Black Brook,Hydroelectric,96.13333333333334,75.42857142857143,0.64,12912,Clinton,NY,POINT (-73.67684 44.44009),61780.0,0.0004558404558404559,0.045584045584045586,30
Oswego Falls,Hydroelectric,96.13333333333334,75.42857142857143,0.6,13069,Oswego,NY,POINT (-76.41527 43.32201),49628.0,0.00042735042735042735,0.042735042735042736,60
North Division Street Dam Hydroelectric Facility,Hydroelectric,96.13333333333334,75.42857142857143,0.58,13021,Cayuga,NY,POINT (-76.56591 42.92936),197247.0,0.0004131054131054131,0.04131054131054131,5
Norwood,Hydroelectric,96.13333333333334,75.42857142857143,0.5,13668,St Lawrence,NY,POINT (-74.99419 44.75155),168825.0,0.00035612535612535614,0.03561253561253561,5
Eagle,Hydroelectric,96.13333333333334,75.42857142857143,0.5,13327,Lewis,NY,POINT (-75.39118 43.89781),136237.0,0.00035612535612535614,0.03561253561253561,5
ATT Clean Energy Project - 400 Hamilton A,Fuel Cell,96.13333333333334,75.42857142857143,0.5,10601,Westchester,NY,POINT (-73.76344 41.03379),158178.0,0.00035612535612535614,0.03561253561253561,5
Fulton Unit 2,Hydroelectric,96.13333333333334,75.42857142857143,0.45,13069,Oswego,NY,POINT (-76.41527 43.32201),25606.0,0.0003205128205128205,0.03205128205128205,90
Browns Falls,Hydroelectric,96.13333333333334,75.42857142857143,0.4,13670,St Lawrence,NY,POINT (-75.07083 44.18332),67327.0,0.00028490028490028494,0.028490028490028494,30
Belfort Unit 3,Hydroelectric,96.13333333333334,75.42857142857143,0.36,13327,Lewis,NY,POINT (-75.39118 43.89781),146292.0,0.0002564102564102564,0.02564102564102564,5
Effley,Hydroelectric,96.13333333333334,75.42857142857143,0.3,13327,Lewis,NY,POINT (-75.39118 43.89781),42083.0,0.00021367521367521368,0.021367521367521368,60
Allens Falls,Hydroelectric,96.13333333333334,75.42857142857143,0.3,13676,St Lawrence,NY,POINT (-74.98656 44.66987),76466.0,0.00021367521367521368,0.021367521367521368,20
Stop and Shop Clean Energy Project - Mt. Vernon,Fuel Cell,96.13333333333334,75.42857142857143,0.26,10550,Westchester,NY,POINT (-73.83827 40.91245),32244.0,0.0001851851851851852,0.01851851851851852,75
Mill Street Dam,Hydroelectric,96.13333333333334,75.42857142857143,0.22,13021,Cayuga,NY,POINT (-76.56591 42.92936),163391.0,0.0001566951566951567,0.01566951566951567,5
ATT Clean Energy Project - Rego Park,Fuel Cell,96.13333333333334,75.42857142857143,0.2,11374,Queens,NY,POINT (-73.86884 40.73194),137873.0,0.00014245014245014247,0.014245014245014247,5
Tannery Island - Tannery Island Hydro,Hydroelectric,96.13333333333334,75.42857142857143,0.17,13619,Jefferson,NY,POINT (-75.60618 43.98008),141610.0,0.0001210826210826211,0.01210826210826211,5
Wappingers Falls,Hydroelectric,96.13333333333334,75.42857142857143,0.12,12590,Dutchess,NY,POINT (-73.91438 41.59714),162651.0,8.547008547008547e-05,0.008547008547008548,5
Taylorville Hydro,Hydroelectric,96.13333333333334,75.42857142857143,0.1,13327,Lewis,NY,POINT (-75.39118 43.89781),62228.0,7.122507122507123e-05,0.0071225071225071235,30
Piercefield,Hydroelectric,96.13333333333334,75.42857142857143,0.1,12973,St Lawrence,NY,POINT (-74.61406 44.26614),107919.0,7.122507122507123e-05,0.0071225071225071235,5
Burt Dam Incremental Hydro,Hydroelectric,96.13333333333334,75.42857142857143,0.09,14028,Niagara,NY,POINT (-78.71228 43.31645),65876.0,6.41025641025641e-05,0.00641025641025641,30
Hardscrabble Wind Energy Project,Land Based Wind,96.13333333333334,75.42857142857143,0.0,13416,Herkimer,NY,POINT (-75.01815 43.19067),131718.0,0.0,0.0,5
