Data Through Date,Eligibility,Project Name,Solicitation Name,Inflation Adjustment,Fixed REC Price,Index (O)REC Strike Price,Incremental Economic Benefits Claimed,Project Met Economic Benefits Threshold,Renewable Technology,Generation Type,Type of Existing,Counterparty,Developer Name,Energy Storage Power Capacity  (MWac),Energy Storage Energy Capacity (MWh),NYISO Zone,PTID,Interconnection Queue Number,Permit Process,Regulatory Permitting,Article VII,ZIP Code,County/Province,State/Province,REDC,Project Status,Year of Commercial Operation,Year of Delivery Start Date,Contract Duration,New Renewable Capacity (MW),Bid Capacity (MW),Bid Quantity (MWh),Max Annual Contract Quantity (MWh),P10 Annual OREC Exceedance,P50 Generation calculated by NYSERDA (MWh/yr),Transmission Capacity (HVDC),Georeference
12/11/2024,Non-Tier 1,Effley,1168,,9.99,,,,Hydroelectric,,,,,,,Mohawk Valley,24048,,,,,13327,Lewis,NY,North Country,Completed,2008,2009,10,0.3,0.3,1399,1399,,,,POINT (-75.39118 43.89781)
12/11/2024,Tier 1,Eight Point Wind,3257,,,71.03,Yes,,Land-based Wind,New,,Eight Point Wind LLC,NextEra Energy Resources,,,Central,323820,422,Article 10,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=16-F-0062,,14877,Steuben,NY,Southern Tier,Operational,2023,2023,20,111.2,101.2,313825,376590,,,,POINT (-77.66125 42.08494)
12/11/2024,Non-Tier 1,Ellenburg,1037,,14.85,,Yes,Yes,Land Based Wind,,,,,,,North,,,,,,12923,Clinton,NY,North Country,Completed,2008,2008,10,81,77,159410,167381,,,,POINT (-73.9322 44.95524)
12/11/2024,Tier 1,ELP Granby Solar II,RESRFP23-1,,,97,,,Solar,New,,ELP Granby Solar II LLC,VC Renewables,,,Central,,1329,SEQR,,,13069,Oswego,NY,Central New York,Under Development,,2027,20,19.99,19.99,40749,48898,,,,POINT (-76.41527 43.32201)
12/11/2024,Tier 1,ELP Rotterdam Solar,RESRFP21-1,,,,Yes,,Solar,New,,ELP Rotterdam Solar LLC,VC Renewables Holdings LLC,,,Capital,,1038,ORES,,,12137,Schenectady,NY,Capital Region,Cancelled,,,20,19.99,19.99,41327,49592,,,,POINT (-74.07789 42.88897)
12/11/2024,Tier 1,ELP Stillwater Solar,RESRFP18-1,,,75.13,Yes,,Solar,New,,ELP Stillwater Solar LLC,MN8 Energy,,,Capital,323814,735,SEQR,,,12118,Saratoga,NY,Capital Region,Operational,2023,2023,20,20,19.99,32396,38875,,,,POINT (-73.68503 42.90454)
12/11/2024,Tier 1,ELP Stuyvesant Solar,RESRFP21-1,,,,Yes,,Solar,New,,ELP Stuyvesant Solar LLC,VC Renewables Holdings LLC,,,Capital,,1171,SEQR,,,12173,Columbia,NY,Capital Region,Cancelled,,,20,19.99,19.99,35898,43077,,,,POINT (-73.78433 42.3879)
12/11/2024,Tier 1,ELP Ticonderoga Solar,RESRFP19-1,,,72.19,Yes,,Solar,New,,ELP Ticonderoga Solar LLC,VC Renewables Holdings LLC,,,Capital,,734,SEQR,,,12883,Essex,NY,North Country,Cancelled,,,20,19.99,19.99,36798,44157,,,,POINT (-73.42423 43.84879)
12/11/2024,OREC,Empire Wind,ORECRFP18-1,,,,,,Offshore Wind,New,,,Equinor Wind US LLC,,,,,,Article 7,https://www.permits.performance.gov/permitting-project/empire-wind-energy-project,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterSeq=65825&MNO=21-T-0366,,,,,Cancelled,,,25,816,816,,,4550000,,,
12/11/2024,OREC,Empire Wind 1,ORECRFP23-1,,,155,,,Offshore Wind,New,,,Equinor Wind US LLC,,,Long Island,,,Article 7,https://www.permits.performance.gov/permitting-project/fast-41-covered-projects/empire-wind-energy-project,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterSeq=65825&MNO=21-T-0366,,,,,Under Development,,2026,25,810,,,,3678847,3522000,,
12/11/2024,OREC,Empire Wind 2,ORECRFP20-1,,,,,,Offshore Wind,New,,,Equinor Wind US LLC,,,,,,Article 7,https://www.permits.performance.gov/permitting-project/empire-wind-energy-project,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=22-T-0346&CaseSearch=Search,,,,,Cancelled,,,25,1260,1260,,,5765100,,,
12/11/2024,Tier 1,Excelsior Energy Center - Solar + Storage 2,RESRFP18-1,,,66.3,Yes,,Solar,New,,"Excelsior Energy Center, LLC",NextEra Energy Resources,20,80,Genesee,,721,Article 10,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=19-F-0299&submit=Search,,14422,Genesee,NY,Finger Lakes,Cancelled,,,20,280,280,591615,709938,,,,POINT (-78.06382 43.07967)
12/11/2024,Tier 1,Excelsior Energy Center LLC,RESRFP23-1,,,101.47,Yes,,Solar,New,,"Excelsior Energy Center, LLC",NextEra Energy Resources,,,Genesee,,721,Article 10,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=19-F-0299,,14422,Genesee,NY,Finger Lakes,Under Development,,2026,20,280,280,554446,665335,,,,POINT (-78.06382 43.07967)
12/11/2024,OREC,Excelsior Wind A,ORECRFP22-1,,,,,,Offshore Wind,New,,,Vineyward Offshore (Copenhagen Infrastructure Partners) (CIP),,,,,,Article 7,https://www.boem.gov/renewable-energy/state-activities/vineyard-mid-atlantic-ocs-0544,,,,,,Cancelled,,,25,1314,1314,,,5201292,,,
12/11/2024,Maintenance,Finger Lakes,Tier 2 - Maintenance,,12.64,,,,Maintenance Hydroelectric,,,,,,,Central,,,,,,14850,Tompkins,NY,Southern Tier,Completed,2019,2019,3,,0.15,625,625,,,,POINT (-76.49546 42.44051)
12/11/2024,Tier 1,Flat Hill Solar,RESRFP23-1,Yes,,99,,,Solar,New,,Flat Hill Solar NY LLC,Cordelio Power,,,Mohawk Valley,,865,SEQR,,,13329,Herkimer,NY,Mohawk Valley,Under Development,,2026,20,19.99,19.99,38310,45971,,,,POINT (-74.77379 43.09996)
12/11/2024,Tier 1,Flat Stone Solar,RESRFP23-1,Yes,,99,,,Solar,New,,Flat Stone Solar NY LLC,Cordelio Power,,,Mohawk Valley,,1000,SEQR,,,13478,Oneida,NY,Mohawk Valley,Under Development,,2026,20,19.99,19.99,33078,39693,,,,POINT (-75.57247 43.14021)
12/11/2024,Tier 1,Flint Mine Solar,RESRFP17-1,,,90.77,Yes,,Solar,New,,"Flint Mine Solar, LLC",D. E. Shaw Renewable Investments,,,Hudson Valley,,637,Article 10,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=18-F-0087,,12051,Greene,NY,Capital Region,Under Development,,2026,20,100,100,174412,209294,,,,POINT (-73.80015 42.34806)
12/11/2024,Tier 1,Foothills Solar Farm,RESRFP21-1,,,,Yes,,Solar,New,,Foothills Solar LLC,Boralex,,,Capital,,1182,ORES,,,12117,Fulton,NY,Mohawk Valley,Cancelled,,,20,40,40,75336,90403,,,,POINT (-74.26411 43.10464)
12/11/2024,Tier 1,Fort Covington Solar Farm,RESRFP21-1,,,,Yes,,Solar,New,,Fort Covington Solar LLC,Boralex,77,308,North,,1183,ORES,,,12937,Franklin,NY,North Country,Cancelled,,,20,250,250,473040,567648,,,,POINT (-74.49412 44.98874)
12/11/2024,Tier 1,Fort Edward Solar Farm,RESRFP21-1,,,,Yes,,Solar,New,,Fort Edward Solar LLC,Boralex,,,Capital,,1042,ORES,,,12828,Washington,NY,Capital Region,Cancelled,,,20,100,100,192720,231264,,,,POINT (-73.58658 43.26888)
12/11/2024,Tier 1,Fulton Unit 1,3257,,15.08,,,,Hydroelectric,Existing,Upgrade,Erie Boulevard Hydropower LP,Brookfield Renewable,,,Central,24041,583,SEQR,,,13069,Oswego,NY,Central New York,Operational,2018,2018,20,0.87,0.87,6968,6968,,,,POINT (-76.41527 43.32201)
12/11/2024,Tier 1,Fulton Unit 2,3084,,14.55,,Yes,Yes,Hydroelectric,New,,Erie Boulevard Hydropower LP,Brookfield Renewable,,,Central,24041,583,SEQR,,,13069,Oswego,NY,Central New York,Operational,2018,2018,20,0.45,0.45,3819,3819,,,,POINT (-76.41527 43.32201)
12/11/2024,Tier 1,Garnet Energy Center Storage 1,RESRFP19-1,,,69.21,Yes,,Solar,New,,"Garnet Energy Center, LLC",NextEra Energy Resources,20,80,Genesee,,883,Article 10,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?Mattercaseno=20-F-0043,,13140,Cayuga,NY,Central New York,Cancelled,,,20,200,200,453768,544521,,,,POINT (-76.62291 43.03722)
12/11/2024,Tier 1,"Garnet Energy Center, LLC",RESRFP23-1,,,104.96,Yes,,Solar,New,,"Garnet Energy Center, LLC",NextEra Energy Resources,,,Genesee,,883,Article 10,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterSeq=61792&MNO=20-F-0043,,13140,Cayuga,NY,Central New York,Under Development,,2027,20,200,200,312457,374948,,,,POINT (-76.62291 43.03722)
12/11/2024,Tier 1,Glen Park,3257,,15.00,,,,Hydroelectric,Existing,Upgrade,"Black River Hydroelectric, LLC",Cube Hydro,,,Mohawk Valley,23778,,SEQR,,,13601,Jefferson,NY,North Country,Operational,1986,2016,20,7.18,6.82,32166,32166,,,,POINT (-75.91428 43.97586)
12/11/2024,Tier 1,Grassy Knoll Solar,RESRFP23-1,Yes,,99,,,Solar,New,,Grassy Knoll Solar NY LLC,Cordelio Power,,,Mohawk Valley,,885,SEQR,,,13329,Herkimer,NY,Mohawk Valley,Under Development,,2026,20,19.99,19.99,38238,45886,,,,POINT (-74.77379 43.09996)
12/11/2024,Tier 1,Gravel Road Solar,RESRFP22-1,,,93.07,Yes,,Solar,New,,"Gravel Road Solar, LLC",Delaware River Solar,,,Central,,1236,ORES,,,13148,Seneca,NY,Finger Lakes,Under Development,,2026,20,112,112,183790,220548,,,,POINT (-76.80882 42.91054)
12/11/2024,Tier 1,Great Gully Solar Farm (formerly Delight Farm),RESRFP20-1,,,,Yes,,Solar,New,,"Great Gully Solar Farm, LLC",AES Distributed Energy,,,Central,,1060,SEQR,,,13160,Cayuga,NY,Central New York,Cancelled,,,20,16.8,16.8,31052,37262,,,,POINT (-76.69542 42.83245)
12/11/2024,Tier 1,Greene County 1,3257,,,88.04,Yes,,Solar,New,,Hecate Energy Greene 1 LLC,Greenbacker Renewable Energy Company,,,Hudson Valley,,570,Article 10,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=17-F-0619,,12051,Greene,NY,Capital Region,Under Development,,2025,20,20,20,36084,43300,,,,POINT (-73.80015 42.34806)
12/11/2024,Tier 1,Greene County 2,3257,,,88.04,Yes,,Solar,New,,Hecate Energy Greene 2 LLC,Greenbacker Renewable Energy Company,,,Hudson Valley,,570,Article 10,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=17-F-0619,,12051,Greene,NY,Capital Region,Under Development,,2025,20,10,10,18042,21650,,,,POINT (-73.80015 42.34806)
12/11/2024,Tier 1,Greene County Energy Properties,RESRFP17-1,,,91.09,Yes,,Solar,New,,"Greene County Energy Properties, LLC",Green County Energy Partners,,,Hudson Valley,,577,SEQR,,,12042,Greene,NY,Capital Region,Cancelled,,,20,19.9,19.9,26149,31378,,,,POINT (-73.8587 42.37065)
12/11/2024,Tier 1,Greens Corners Solar,RESRFP19-1,,,64.21,Yes,,Solar,New,,Greens Corners Solar LLC,Boralex,,,Mohawk Valley,,864,ORES,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=21-00982&CaseSearch=Search,,13601,Jefferson,NY,North Country,Cancelled,,,20,120,120,194472,233366,,,,POINT (-75.91428 43.97586)
12/11/2024,Tier 1,Grissom Solar,RESRFP17-1,,,79.93,Yes,,Solar,New,,"Grissom Solar, LLC",MN8 Energy,,,Capital,323813,682,SEQR,,,12095,Montgomery,NY,Mohawk Valley,Operational,2023,2023,20,20,19.99,39998,47998,,,,POINT (-74.36828 43.00656)
12/11/2024,Tier 1,Hannacroix Solar Facility,RESRFP18-1,,22.00,,Yes,,Solar,New,,Hannacroix Solar Facility LLC,Teichos Energy,,,Hudson Valley,,8360,SEQR,,,12087,Greene,NY,Capital Region,Cancelled,,,20,4.99,4.99,10342,12410,,,,POINT (-73.8846 42.4361)
12/11/2024,Non-Tier 1,Hardscrabble,1681,,15.50,,Yes,Yes,Land Based Wind,,,,,,,Mohawk Valley,,,,,,13416,Herkimer,NY,Mohawk Valley,Completed,2011,2011,10,74,43.7,121508,121508,,,,POINT (-75.01815 43.19067)
12/11/2024,Non-Tier 1,Hardscrabble Wind Energy Project,1851,,21.50,,Yes,Yes,Land Based Wind,,,,,,,Mohawk Valley,,,,,,13416,Herkimer,NY,Mohawk Valley,Completed,2011,2011,10,0,26.64,74141,74141,,,,POINT (-75.01815 43.19067)
12/11/2024,Tier 1,Harvest Hills Solar (Formerly Milliken Solar),RESRFP20-1,,,47.7,Yes,,Solar,New,,ConnectGen Cayuga County LLC,ConnectGen,,,Central,,1088,ORES,,,13071,Cayuga,NY,Central New York,Cancelled,,,20,200,200,394200,473040,,,,POINT (-76.53868 42.66918)
12/11/2024,Tier 1,Harvest Hills Solar 2,RESRFP21-1,,,,Yes,,Solar,New,,ConnectGen Cayuga County LLC,ConnectGen,,,Central,,1238,ORES,,,13071,Cayuga,NY,Central New York,Cancelled,,,20,100,100,202356,242827,,,,POINT (-76.53868 42.66918)
12/11/2024,Tier 1,Hatchery Solar,RESRFP22-1,,,81.98,Yes,,Solar,New,,Hatchery Solar LLC,VC Renewables,,,Central,,932,SEQR,,,14423,Livingston,NY,Finger Lakes,Under Development,,2026,20,19.99,19.99,40976,49171,,,,POINT (-77.8533 42.97389)
12/11/2024,Tier 1,Hatchery Solar,RESRFP20-1,,,43.64,Yes,,Solar,New,,Hatchery Solar LLC,Oriden Power,,,Central,,932,SEQR,,,14423,Livingston,NY,Finger Lakes,Cancelled,,,20,19.99,19.99,40626,48751,,,,POINT (-77.8533 42.97389)
12/11/2024,Tier 1,Hawthorn Solar,RESRFP20-1,,,60.45,Yes,,Solar,New,,"Hawthorn Solar, LLC",CS Energy,,,Capital,,832,SEQR,,,12090,Rensselaer,NY,Capital Region,Cancelled,,,20,19.99,19.99,39400,47280,,,,POINT (-73.34957 42.90196)
12/11/2024,Tier 1,Hecate Energy Greene County 1,3257,,26.91,,Yes,,Solar,New,,Hecate Energy New York LLC,Hecate Energy,,,Hudson Valley,,570,Article 10,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=17-F-0617,,12051,Greene,NY,Capital Region,Cancelled,,,20,49.99,47.49,85699,85699,,,,POINT (-73.80015 42.34806)
12/11/2024,Tier 1,Hemlock Ridge Solar,RESRFP22-1,,,79.5,Yes,,Solar,New,,Hemlock Ridge Solar LLC,AES Corporation,,,Genesee,,950,ORES,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=21-00748,,14103,Orleans,NY,Finger Lakes,Under Development,,2028,20,200,200,388944,466732,,,,POINT (-78.38691 43.22012)
12/11/2024,Non-Tier 1,Henkel US Operations Corp - Geneva Facility,2554,,24.00,,Yes,Yes,Land Based Wind,,,,,,,Central,,,,,,14456,Ontario,NY,Finger Lakes,Completed,2013,2013,10,3.3,3.14,3847,3847,,,,POINT (-76.98218 42.86642)
12/11/2024,Tier 1,Heritage Wind,RESRFP18-1,,,67.01,Yes,,Land Based Wind,New,,Heritage Wind LLC,Apex Clean Energy,,,Genesee,,571,ORES,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=21-00026,,14411,Orleans,NY,Finger Lakes,Cancelled,,,20,147,147,393100,471720,,,,POINT (-78.19375 43.24613)
12/11/2024,Tier 1,"Heritage Wind, LLC",RESRFP23-1,,,109.95,,,Land Based Wind,New,,"Heritage Wind, LLC",Apex Clean Energy,,,Genesee,,571,ORES,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=21-00026,,14411,Orleans,NY,Finger Lakes,Under Development,,2026,20,126,126,304274,365128,,,,POINT (-78.19375 43.24613)
12/11/2024,Tier 1,High Bridge Wind and Battery,RESRFP18-1,,,67.27,Yes,,Land Based Wind,New,,"High Bridge Wind, LLC",Northland Power,5,20,Mohawk Valley,,706,Article 10,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=18-f-0262,,13780,Chenango,NY,Southern Tier,Cancelled,,,20,99,99,308737,370484,,,,POINT (-75.47839 42.42805)
12/11/2024,Non-Tier 1,High Falls,1168,,20.00,,,,Hydroelectric,,,,,,,,,,,,,J0X2L,,QC,,Completed,2009,2009,10,14.7,14,26410,26410,,,,
12/11/2024,Tier 1,High River Energy Center,RESRFP17-1,,,70.49,Yes,,Solar,New,,"High River Energy Center, LLC",NextEra Energy Resources,,,Capital,323847,618,Article 10,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=17-F-0597,,12010,Montgomery,NY,Mohawk Valley,Operational,2024,2024,20,90,90,167141,200569,,,,POINT (-74.18893 42.93896)
12/11/2024,Non-Tier 1,High Sheldon,1851,,18.50,,,,Land Based Wind,,,,,,,West,,,,,,14145,Wyoming,NY,Finger Lakes,Completed,2012,2012,10,112.5,106.9,228200,228200,,,,POINT (-78.44801 42.70145)
12/11/2024,Tier 1,Highbanks Solar,RESRFP20-1,,,41.77,Yes,,Solar,New,,Highbanks Solar LLC,Oriden Power,,,Central,,863,SEQR,,,14510,Livingston,NY,Finger Lakes,Cancelled,,,20,19.99,19.99,43603,52323,,,,POINT (-77.8741 42.72573)
12/11/2024,Tier 1,Highview Solar,RESRFP23-1,Yes,,99,,,Solar,New,,Highview Solar NY LLC,Cordelio Power,,,West,,591,SEQR,,,14530,Wyoming,NY,Finger Lakes,Under Development,,2026,20,19.99,19.99,34165,40997,,,,POINT (-78.0055 42.71961)
12/11/2024,Non-Tier 1,Higley Falls,1037,,9.95,,Yes,Yes,Hydroelectric,,,,,,,Mohawk Valley,24057,,,,,13625,St Lawrence,NY,North Country,Completed,2007,2008,10,1.9,1.9,10589,11648,,,,POINT (-74.94156 44.55449)
12/11/2024,Non-Tier 1,Higley Falls*,916,,2.49,,,,Hydroelectric,,,,,,,Mohawk Valley,24057,,,,,13625,St Lawrence,NY,North Country,Completed,2005,2006,1,,,8917,10255,,,,POINT (-74.94156 44.55449)
12/11/2024,Tier 1,Hills Solar,RESRFP23-1,Yes,,99,,,Solar,New,,Hills Solar NY LLC,Cordelio Power,,,Mohawk Valley,,581,SEQR,,,13365,Herkimer,NY,Mohawk Valley,Under Development,,2026,20,19.99,19.99,37602,45122,,,,POINT (-74.85884 43.04079)
12/11/2024,Tier 1,Homer Solar Energy Center,RESRFP20-1,,,59.96,Yes,,Solar,New,,"Homer Solar Energy Center, LLC",EDF Renewables Development,,,Central,,276,ORES,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=21-00976&CaseSearch=Search,,13045,Cortland,NY,Central New York,Cancelled,,,20,90,90,168718,202461,,,,POINT (-76.17484 42.60348)
12/11/2024,Tier 1,Horseshoe Solar,RESRFP18-1,,,70.57,Yes,,Solar,New,,Horseshoe Solar Energy LLC,Invenergy,,,Genesee,,710,ORES,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=21-02480&CaseSearch=Search,,14423,Livingston,NY,Finger Lakes,Cancelled,,,20,180,180,368971,442765,,,,POINT (-77.8533 42.97389)
12/11/2024,Non-Tier 1,Howard,2226,,17.50,,Yes,Yes,Land Based Wind,,,,,,,Central,323690,,,,,14823,Steuben,NY,Southern Tier,Completed,2012,2012,10,51.25,46.13,115184,115184,,,,POINT (-77.60504 42.27)
12/11/2024,Non-Tier 1,Howard (Expansion),2389,,28.50,,Yes,Yes,Land Based Wind,,,,,,,Central,323690,,,,,14823,Steuben,NY,Southern Tier,Completed,2013,2013,10,4.1,3.9,9849,9849,,,,POINT (-77.60504 42.27)
12/11/2024,Non-Tier 1,Howard*,2554,,37.00,,Yes,Yes,Land Based Wind,,,,,,,Central,323690,,,,,14823,Steuben,NY,Southern Tier,Completed,2013,2013,10,,2.55,6359,6359,,,,POINT (-77.60504 42.27)
12/11/2024,Non-Tier 1,Hyland LFGE,2226,,20.49,,Yes,Yes,Biogas - LFG,,,,,,,Genesee,,,,,,14709,Allegany,NY,Western New York,Completed,2011,2011,10,4.8,2.2,15396,15396,,,,POINT (-78.02061 42.30738)
12/11/2024,Tier 1,Janis Solar,RESRFP17-1,,,75.8,Yes,,Solar,New,,"Janis Solar, LLC",MN8 Energy,,,Central,323808,768,SEQR,,,13040,Cortland,NY,Central New York,Operational,2023,2023,20,20,19.99,35898,43077,,,,POINT (-75.89576 42.54157)
12/11/2024,Tier 1,Java Solar Energy Center,RESRFP17-1,,19.50,,,,Solar,New,,Java Energy LLC,Invenergy,,,West,,12380,SEQR,,,14009,Wyoming,NY,Finger Lakes,Cancelled,,,20,1.53,1.53,2039,2446,,,,POINT (-78.42825 42.53383)
12/11/2024,Tier 1,Jericho Rise,2985,,24.50,,Yes,Yes,Land Based Wind,New,,"Jericho Rise Wind Farm, LLC",EDP Renewables,,,North,323719,,,,,12920,Franklin,NY,North Country,Operational,2016,2019,20,77.7,73.81,206272,206272,,,,POINT (-74.08016 44.92649)
12/11/2024,Maintenance,Kayuta Lake Hydro,Tier 2 - Maintenance,,11.62,,,,Maintenance Hydroelectric,,,,,,,Mohawk Valley,,,,,,13338,Oneida,NY,Mohawk Valley,Completed,2018,2018,3,,0.46,1897,1897,,,,POINT (-75.20483 43.44104)
12/11/2024,Maintenance,Kayuta Lake Hydro _July 2021 Award,Tier 2 - Maintenance,,18.88,,,,Maintenance Hydroelectric,,,,,,,Mohawk Valley,,,,,,13338,Oneida,NY,Mohawk Valley,Operational,2022,2022,3,,0.46,1681,1681,,,,POINT (-75.20483 43.44104)
12/11/2024,Tier 1,Little Pond Solar,RESRFP23-1,,,107.38,Yes,,Solar,New,,"Little Pond Solar, LLC",Greenbacker Renewable Energy Company,,,Hudson Valley,,575,SEQR,,,12780,Orange,NY,Mid-Hudson,Under Development,,2026,20,19.99,19.99,35707,42848,,,,POINT (-74.72882 41.40325)
12/11/2024,Tier 1,Little Pond Solar,RESRFP17-1,,,81.97,Yes,,Solar,New,,"Little Pond Solar, LLC",Greenbacker Renewable Energy Corporation,,,Hudson Valley,,575,SEQR,,,12780,Orange,NY,Mid-Hudson,Cancelled,,,20,19.99,19.99,37649,45178,,,,POINT (-74.72882 41.40325)
12/11/2024,Non-Tier 1,Locust Ridge,2389,,16.98,,,,Land Based Wind,,,,,,,,PJM,,,,,19087,,PA,,Completed,2012,2012,10,26,24.7,54093,54093,,,,POINT (-75.39125 40.0455)
12/11/2024,Maintenance,Long Falls - Ampersand,Tier 2 - Maintenance,,,,,,Maintenance Hydroelectric,,,,,,,Mohawk Valley,,,,,,13619,Jefferson,NY,North Country,Under Development,,,3,,0.33,,8006,,,,POINT (-75.60618 43.98008)
12/11/2024,Maintenance,Lyons Falls Hydro,Tier 2 - Maintenance,,7.80,,,,Maintenance Hydroelectric,,,,,,,Mohawk Valley,23570,,,,,13368,Lewis,NY,North Country,Completed,2019,2019,3,,8.59,42590,42590,,,,POINT (-75.36537 43.61971)
12/11/2024,Tier 1,Lyons Falls Mill Hydro,3084,,22.50,,,,Hydroelectric,,,,,,,Mohawk Valley,,,,,,13368,Lewis,NY,North Country,Cancelled,,,20,5.51,5.23,27409,27409,,,,POINT (-75.36537 43.61971)
12/11/2024,Tier 1,Lyons Falls Mill Redevelopment,RESRFP17-1,,17.90,,,,Hydroelectric,Existing,Upgrade,"Northbrook Lyons Falls, LLC",Kruger Energy,,,Mohawk Valley,,,,,,13368,Lewis,NY,North Country,Cancelled,,,20,3.28,3.28,20062,24074,,,,POINT (-75.36537 43.61971)
12/11/2024,Maintenance,Lyonsdale,RPS Maintenance,,16.00,,Yes,Yes,Maintenance Biomass,,,,,,,Mohawk Valley,,,,,,13368,Lewis,NY,North Country,Completed,2007,2008,7,,,,,,,,POINT (-75.36537 43.61971)
12/11/2024,Maintenance,Lyonsdale Biomass,RPS Maintenance,,33.49,,,,Maintenance Biomass,,,,,,,Mohawk Valley,,,,,,13368,Lewis,NY,North Country,Completed,2014,2015,3,,22,131238,131238,,,,POINT (-75.36537 43.61971)
12/11/2024,Tier 1,Magruder Solar,RESRFP17-1,,23.00,,,,Solar,New,,"Magruder Solar, LLC",CS Energy,,,Hudson Valley,,744,SEQR,,,12525,Ulster,NY,Mid-Hudson,Cancelled,,,20,19.99,19.99,35022,42026,,,,POINT (-74.1512 41.67999)
12/11/2024,Tier 1,Manchester Solar,RESRFP18-1,,,67.41,Yes,,Solar,New,,SunEast Manchester Solar LLC,SunEast Development LLC,,,Central,,913,SEQR,,,14432,Ontario,NY,Finger Lakes,Cancelled,,,20,19.99,19.99,40223,48267,,,,POINT (-77.13883 42.9615)
12/11/2024,Non-Tier 1,Maple Ridge,916,,22.95,,,,Land Based Wind,,,,,,,Mohawk Valley,,,,,,13367,Lewis,NY,North Country,Completed,2006,2006,10,321,,526800,605820,,,,POINT (-75.4895 43.7871)
12/11/2024,Non-Tier 1,Marble River,2226,,20.44,,Yes,Yes,Land Based Wind,,,,,,,North,323696,,,,,12923,Clinton,NY,North Country,Completed,2012,2012,10,215.25,204.49,581510,581510,,,,POINT (-73.9322 44.95524)
12/11/2024,Non-Tier 1,Marsh Hill,2554,,36.95,,Yes,Yes,Land Based Wind,,,,,,,Central,323713,,,,,14855,Steuben,NY,Southern Tier,Operational,2014,2014,10,16.2,15.39,52526,52526,,,,POINT (-77.50328 42.12147)
12/11/2024,Tier 1,Martin Rd Solar,RESRFP19-1,,,68.8,Yes,,Solar,New,,"Martin Rd Solar, LLC",Olivewood Energy Development,,,West,,666,ORES,,,14101,Cattaraugus,NY,Western New York,Cancelled,,,20,19.99,19.99,33096,39715,,,,POINT (-78.49038 42.4241)
12/11/2024,Non-Tier 1,Mechanicville,1851,,17.50,,Yes,Yes,Hydroelectric,,,,,,,Capital,,,,,,12118,Saratoga,NY,Capital Region,Completed,2011,2011,10,4.5,4.28,19000,19000,,,,POINT (-73.68503 42.90454)
12/11/2024,Tier 1,Mill Point Solar,RESRFP20-1,,,44.55,Yes,,Solar,New,,ConnectGen Montgomery County LLC,ConnectGen,,,Mohawk Valley,,1031,ORES,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=23-00034,,12072,Montgomery,NY,Mohawk Valley,Cancelled,,,20,250,250,497130,596556,,,,POINT (-74.37026 42.94801)
12/11/2024,Tier 1,Mill Point Solar 2,RESRFP21-1,,,,Yes,,Solar,New,,ConnectGen Montgomery County LLC,ConnectGen,,,Mohawk Valley,,1231,ORES,,,12072,Montgomery,NY,Mohawk Valley,Cancelled,,,20,100,100,197100,236520,,,,POINT (-74.37026 42.94801)
12/11/2024,Non-Tier 1,Mill Street Dam,2389,,20.25,,Yes,Yes,Hydroelectric,,,,,,,Central,,,,,,13021,Cayuga,NY,Central New York,Operational,2014,2014,10,0.22,0.23,986,986,,,,POINT (-76.56591 42.92936)
12/11/2024,Tier 1,Mineral Basin Solar,RESRFP22-1,,,77.99,Yes,,Solar,New,,"Mineral Basin Solar Power, LLC",Swift Current Energy,,,Central,,1080,Other,,,16836,,PA,,Under Development,,2028,20,401.64,401.64,731820,878184,,,,POINT (-78.22134 41.10312)
