Data Through Date,Eligibility,Project Name,Solicitation Name,Inflation Adjustment,Fixed REC Price,Index (O)REC Strike Price,Incremental Economic Benefits Claimed,Project Met Economic Benefits Threshold,Renewable Technology,Generation Type,Type of Existing,Counterparty,Developer Name,Energy Storage Power Capacity  (MWac),Energy Storage Energy Capacity (MWh),NYISO Zone,PTID,Interconnection Queue Number,Permit Process,Regulatory Permitting,Article VII,ZIP Code,County/Province,State/Province,REDC,Project Status,Year of Commercial Operation,Year of Delivery Start Date,Contract Duration,New Renewable Capacity (MW),Bid Capacity (MW),Bid Quantity (MWh),Max Annual Contract Quantity (MWh),P10 Annual OREC Exceedance,P50 Generation calculated by NYSERDA (MWh/yr),Transmission Capacity (HVDC),Georeference
12/11/2024,Tier 1,Ball Hill,3084,,,69.62,Yes,,Land-based Wind,New,,"Ball Hill Wind Energy, LLC",Northland Power,,,West,323825,505,SEQR,,,14062,Chautauqua,NY,Western New York,Operational,2023,2023,20,107.5,100,269877,323852,,,,POINT (-79.17639 42.46807)
12/11/2024,Tier 1,Baron Winds,RESRFP17-1,,22.75,,Yes,,Land Based Wind,New,,Baron Winds LLC,RWE,,,Central,,396,Article 10,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=15-f-0122,,14826,Steuben,NY,Southern Tier,Cancelled,,,20,272,272,748174,897808,,,,POINT (-77.51062 42.50697)
12/11/2024,Tier 1,Baron Winds I,RESRFP17-1,,,70.02,Yes,,Land-based Wind,New,,Baron Winds LLC,RWE,,,Central,323822,396,Article 10,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=15-f-0122,,14826,Steuben,NY,Southern Tier,Operational,2023,2023,20,121.8,121.8,354417,425300,,,,POINT (-77.51062 42.50697)
12/11/2024,Tier 1,Baron Winds II,RESRFP17-1,,,69.62,Yes,,Land Based Wind,New,,Baron Winds II LLC,RWE,,,Central,,396,Article 10,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=15-f-0122,,14826,Steuben,NY,Southern Tier,Cancelled,,,20,112.5,112.5,272706,327247,,,,POINT (-77.51062 42.50697)
12/11/2024,Tier 1,Baron Winds II,RESRFP23-1,,,94.57,,,Land Based Wind,New,,Baron Winds II LLC,RWE,,,Central,,396,Article 10,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=15-F-0122,,14572,Steuben,NY,Southern Tier,Under Development,,2026,20,117,117,324313,389175,,,,POINT (-77.58991 42.56779)
12/11/2024,OREC,Beacon Wind,ORECRFP20-1,,,,,,Offshore Wind,New,,,Equinor Wind US LLC,,,,,,Article 7,,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterSeq=68175,,,,,Cancelled,,,25,1230,1230,,,6018100,,,
12/11/2024,Non-Tier 1,Bear Creek,916,,19.20,,,,Land Based Wind,,,,,,,,,,,,,18101,,PA,,Completed,2006,2006,4,22,,59743,68704,,,,POINT (-75.47027 40.60263)
12/11/2024,Tier 1,Bear Ridge Solar,RESRFP21-1,,,,Yes,,Solar,New,,"Bear Ridge Solar, LLC",Cypress Creek Renewables,,,West,,704,ORES,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=21-02104&CaseSearch=Search,,14094,Niagara,NY,Western New York,Cancelled,,,20,100,100,181332,217598,,,,POINT (-78.69511 43.16926)
12/11/2024,Tier 1,Bear Ridge Solar,RESRFP23-1,,,97.8,Yes,,Solar,New,,"Bear Ridge Solar, LLC",Cypress Creek Renewables,,,West,,704,ORES,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=21-02104,,14094,Niagara,NY,Western New York,Under Development,,2026,20,92.98,93,156181,187417,,,,POINT (-78.69511 43.16926)
12/11/2024,Tier 1,Belfort Unit 3,3257,,14.84,,,,Hydroelectric,Existing,Upgrade,Erie Boulelvard Hydropower LP,Brookfield Renewable,,,Mohawk Valley,24048,,SEQR,,,13327,Lewis,NY,North Country,Operational,2015,2016,19,0.36,0.34,1975,1975,,,,POINT (-75.39118 43.89781)
12/11/2024,Non-Tier 1,Bellmont,1037,,17.75,,,,Land Based Wind,,,,,,,North,,,,,,12969,Franklin,NY,North Country,Cancelled,2009,,10,21,19.95,57671,63438,,,,POINT (-74.17381 44.7338)
12/11/2024,Non-Tier 1,Black Brook,2226,,25.00,,Yes,Yes,Hydroelectric,,,,,,,Mohawk Valley,,,,,,12912,Clinton,NY,North Country,Completed,2011,2011,10,0.64,0.61,1900,1900,,,,POINT (-73.67684 44.44009)
12/11/2024,Maintenance,Black Brook Hydro_October 2021 Award,Tier 2 - Maintenance,,22.57,,,,Maintenance Hydroelectric,,,,,,,North,,,,,,12912,Clinton,NY,North Country,Operational,2021,2021,3,,0.64,1851,1851,,,,POINT (-73.67684 44.44009)
