,Data Through Date,Eligibility,Project Name,Solicitation Name,Inflation Adjustment,Fixed REC Price,Index (O)REC Strike Price,Incremental Economic Benefits Claimed,Project Met Economic Benefits Threshold,Renewable Technology,Generation Type,Type of Existing,Counterparty,Developer Name,Energy Storage Power Capacity  (MWac),Energy Storage Energy Capacity (MWh),NYISO Zone,PTID,Interconnection Queue Number,Permit Process,Regulatory Permitting,Article VII,ZIP Code,County/Province,State/Province,REDC,Project Status,Year of Commercial Operation,Year of Delivery Start Date,Contract Duration,New Renewable Capacity (MW),Bid Capacity (MW),Bid Quantity (MWh),Max Annual Contract Quantity (MWh),P10 Annual OREC Exceedance,P50 Generation calculated by NYSERDA (MWh/yr),Transmission Capacity (HVDC),Georeference,Median Household Income
17,12/11/2024,Tier 1,Bald Mountain Solar,RESRFP19-1,,,65.1,Yes,,Solar,New,,Bald Mountain Solar LLC,Boralex,,,Capital,,855.0,SEQR,,,12834,Washington,NY,Capital Region,Cancelled,,,20.0,19.99,19.99,33446.0,40135.0,,,,POINT (-73.49696 43.08752),64625.0
18,12/11/2024,Tier 2,Baldwinsville,T2RFP21-1,,7.4,,,,Hydroelectric,,,Erie Boulevard Hydropower LP,Brookfield Renewable Trading and Marketing LP,,,Central,,,,,,13027,Onondaga,NY,Central New York,Completed,1927.0,2021.0,3.0,,0.6,2693.0,2693.0,,,,POINT (-76.33276 43.15867),64625.0
19,12/11/2024,Tier 1,Ball Hill,3084,,,69.62,Yes,,Land-based Wind,New,,"Ball Hill Wind Energy, LLC",Northland Power,,,West,323825,505.0,SEQR,,,14062,Chautauqua,NY,Western New York,Operational,2023.0,2023.0,20.0,107.5,100.0,269877.0,323852.0,,,,POINT (-79.17639 42.46807),64625.0
20,12/11/2024,Tier 1,Baron Winds,RESRFP17-1,,22.75,,Yes,,Land Based Wind,New,,Baron Winds LLC,RWE,,,Central,,396.0,Article 10,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=15-f-0122,,14826,Steuben,NY,Southern Tier,Cancelled,,,20.0,272.0,272.0,748174.0,897808.0,,,,POINT (-77.51062 42.50697),64625.0
21,12/11/2024,Tier 1,Baron Winds I,RESRFP17-1,,,70.02,Yes,,Land-based Wind,New,,Baron Winds LLC,RWE,,,Central,323822,396.0,Article 10,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=15-f-0122,,14826,Steuben,NY,Southern Tier,Operational,2023.0,2023.0,20.0,121.8,121.8,354417.0,425300.0,,,,POINT (-77.51062 42.50697),64625.0
22,12/11/2024,Tier 1,Baron Winds II,RESRFP17-1,,,69.62,Yes,,Land Based Wind,New,,Baron Winds II LLC,RWE,,,Central,,396.0,Article 10,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=15-f-0122,,14826,Steuben,NY,Southern Tier,Cancelled,,,20.0,112.5,112.5,272706.0,327247.0,,,,POINT (-77.51062 42.50697),64625.0
23,12/11/2024,Tier 1,Baron Winds II,RESRFP23-1,,,94.57,,,Land Based Wind,New,,Baron Winds II LLC,RWE,,,Central,,396.0,Article 10,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=15-F-0122,,14572,Steuben,NY,Southern Tier,Under Development,,2026.0,20.0,117.0,117.0,324313.0,389175.0,,,,POINT (-77.58991 42.56779),64625.0
24,12/11/2024,OREC,Beacon Wind,ORECRFP20-1,,,,,,Offshore Wind,New,,,Equinor Wind US LLC,,,,,,Article 7,,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterSeq=68175,None,,,,Cancelled,,,25.0,1230.0,1230.0,,,6018100.0,,,,64625.0
25,12/11/2024,Non-Tier 1,Bear Creek,916,,19.2,,,,Land Based Wind,,,,,,,,,,,,,18101,,PA,,Completed,2006.0,2006.0,4.0,22.0,,59743.0,68704.0,,,,POINT (-75.47027 40.60263),64625.0
26,12/11/2024,Tier 1,Bear Ridge Solar,RESRFP21-1,,,,Yes,,Solar,New,,"Bear Ridge Solar, LLC",Cypress Creek Renewables,,,West,,704.0,ORES,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=21-02104&CaseSearch=Search,,14094,Niagara,NY,Western New York,Cancelled,,,20.0,100.0,100.0,181332.0,217598.0,,,,POINT (-78.69511 43.16926),61000.0
